Timestamp,STG Gross Power (MW),HP Steam Inlet Flow (KPPH),HP Steam Inlet Pressure (PSIA),HP Steam Inlet Temperature (DEGF),LP Steam Inlet Flow (KPPH),LP Steam Inlet Pressure (PSIA),LP Steam Admin Temperature (DEGF),LP Steam Exhaust Pressure (PSIA),HP Flow Function,HP Isentropic Efficiency (%),LP Flow Function,LP Isentropic Efficiency (%)
2016-02-29,105.964226,708.8099,626.5391,933.0779,187.71529,58.130886,411.31833,1.2080877,33150.113,92.39674,72836.98,77.249596
2016-03-01,105.46,706.50323,623.22894,934.6439,185.27185,57.677776,410.18842,1.2044065,33295.652,92.226814,72412.33,77.30011
2016-03-02,107.247536,713.0425,629.78015,925.0106,193.89383,58.682434,413.54047,1.149882,33060.37,92.390686,74622.67,77.38206
2016-03-03,108.97295,720.07007,641.82434,924.9273,197.9743,59.72157,415.44208,1.1949179,32729.38,92.275185,74948.0,78.47509
2016-03-04,107.87124,716.0097,635.53217,926.12006,195.44615,59.135323,414.27603,1.2241485,32902.84,92.226166,74677.48,78.4305
2016-03-05,107.78577,715.45184,635.0167,926.46063,195.0101,58.994923,414.20468,1.2080532,32911.96,92.15605,74685.84,78.30702
2016-03-06,108.4936,716.13666,635.1501,926.329,195.64673,59.055847,414.67447,1.1692853,32941.27,92.14973,74875.99,78.54324
2016-03-07,105.90436,707.66235,626.588,936.85333,185.27316,57.826656,410.33926,1.2046155,33205.543,92.20256,72221.016,77.45988
2016-03-08,102.97656,702.504,604.2469,945.6094,178.376,57.085743,407.60156,1.4112085,34400.098,93.20254,70335.375,76.8412
2016-03-12,145.69667,1034.3467,860.2278,937.1762,270.79803,80.07313,435.11978,1.2480388,33923.273,92.11277,77001.23,65.90985
2016-03-13,154.03516,1083.04,876.325,940.40625,253.694,80.55156,411.3125,1.3477157,34857.086,92.3632,70759.37,68.70879
2016-03-14,162.27272,1114.5822,911.70886,932.31036,295.26468,85.55543,440.61966,1.3276961,34324.176,92.16499,78913.19,69.397606
2016-03-15,160.39462,1104.4847,905.3248,936.56134,287.8114,84.710594,438.8994,1.3718808,34322.91,92.258125,77618.09,69.48707
2016-03-16,157.41095,1092.2997,897.4716,942.21643,278.8232,83.589584,436.80237,1.4517041,34334.484,92.11274,76114.375,69.33059
2016-03-17,138.07352,1108.5217,909.08435,936.73956,288.51712,85.0212,439.2974,1.3679967,34304.45,92.228935,77535.8,49.90386
2016-03-18,122.19261,1107.0717,907.1922,936.0291,288.69904,84.90499,439.0824,1.3440439,34323.35,92.17425,77681.83,36.531593
2016-03-20,111.01969,714.65,640.2814,928.51044,196.42975,59.791553,416.2435,1.0290773,32631.256,92.5113,74311.586,79.71001
2016-03-21,108.36313,709.69965,632.76855,930.8512,193.4481,59.09323,415.84845,1.1466075,32848.777,92.41463,74039.97,79.04796
2016-03-22,108.91424,711.31464,637.43744,934.7937,193.93248,59.302444,415.98758,1.1620444,32745.355,92.34154,73965.16,79.347565
2016-03-23,107.30383,706.88983,632.434,939.1757,190.19328,58.67307,414.302,1.2000136,32891.61,92.34884,73242.414,78.607956
2016-03-24,108.8271,709.8714,636.0541,936.7106,192.26817,59.14262,415.60065,1.1781677,32788.387,92.31606,73511.86,79.78702
2016-03-25,106.83441,703.92535,628.15265,941.257,187.47798,58.281796,412.79675,1.2002374,33025.75,92.42661,72620.055,78.7324
2016-03-26,108.06069,714.86115,643.4702,934.2166,195.22829,59.805367,416.76013,1.325304,32576.566,92.17603,73861.82,79.45326
2016-03-27,109.54001,712.86096,641.3781,936.3481,193.6976,59.52718,416.31046,1.1930561,32634.932,92.0125,73609.75,80.41752
2016-03-28,107.90972,712.5502,639.72986,934.635,194.01619,59.7374,415.52057,1.2851357,32416.426,92.46726,73432.266,79.1628
2016-03-29,108.94333,712.54803,639.184,934.2461,194.23813,59.56665,416.6376,1.224135,32698.389,92.31153,73781.17,79.96684
2016-03-30,110.10403,713.91504,642.1473,934.8798,194.49843,59.708206,416.92795,1.1788689,32615.768,92.2775,73714.56,80.570076
2016-03-31,106.77103,705.54865,631.0733,941.17633,188.54579,58.551556,414.02365,1.2814354,32940.63,92.26407,72746.555,79.33599
2016-04-01,105.0334,697.2517,620.3031,948.013,181.4916,57.43107,410.47134,1.1835372,33268.496,92.43409,71254.11,77.574036
2016-04-18,100.652435,666.4798,605.9167,948.7939,165.09795,54.331463,403.37704,1.1248187,32294.164,92.81849,68030.64,78.222275
2016-04-19,111.574615,718.46185,651.85913,938.36835,193.1639,60.176056,413.9679,1.1121633,31712.994,92.24357,72493.27,80.49678
2016-04-20,108.68105,707.7908,635.4101,942.8108,184.65778,58.437607,410.67682,1.1252822,32771.39,92.12414,71238.92,79.82008
2016-04-21,113.24083,722.822,659.72504,938.77386,195.46313,60.95778,415.1211,1.1677183,31537.268,92.211174,72455.055,82.3282
2016-04-22,114.600075,726.73517,666.7411,939.26807,197.33942,61.63349,415.70743,1.1329602,31177.582,92.33976,72348.38,82.46086
2016-04-24,152.81645,1034.0156,863.20245,937.4877,267.872,80.32554,433.8746,1.221303,33786.434,92.202225,75687.32,72.11015
2016-04-25,145.21484,1020.2,830.73126,942.8125,239.378,76.385544,416.3125,1.2694441,34717.266,92.16853,70685.78,68.26135
2016-04-26,158.74513,1098.8655,903.62506,944.4402,274.8016,83.76318,434.86487,1.4653922,34330.598,92.23808,74760.29,69.77582
2016-04-27,163.85463,1126.4508,922.6511,936.27167,289.84207,86.0109,438.91162,1.3640236,34326.414,92.230446,76967.22,69.60346
2016-04-28,164.99368,1129.5905,924.5813,934.86444,291.7151,86.19038,439.15652,1.2936016,34327.062,92.267136,77311.59,69.486336
2016-04-29,165.36897,1137.122,930.50574,934.3461,294.6702,86.78014,440.24164,1.3243316,34322.227,92.184006,77610.28,69.13842
2016-04-30,163.95544,1132.0095,926.5237,937.2142,290.10257,86.15552,438.82416,1.3263425,34361.92,92.157845,76901.35,68.661995
2016-05-01,165.04128,1138.6434,931.73566,934.15137,295.23682,86.87517,440.16797,1.3252562,34318.63,92.170074,77670.09,68.69835
2016-05-02,162.89716,1125.7288,922.3239,937.0735,288.9752,85.894585,438.5311,1.3798783,34328.625,92.158516,76822.3,69.0941
2016-05-03,161.80203,1117.2911,915.5167,937.0511,286.463,85.30294,437.71954,1.3808786,34331.5,92.21996,76653.07,69.298004
2016-05-04,161.12875,1114.0664,912.9477,936.02893,286.2115,85.13493,437.51025,1.3243328,34316.164,92.19491,76729.76,68.680275
2016-05-05,161.14052,1115.7354,914.2794,936.77185,286.04807,85.24888,437.528,1.3231682,34327.023,92.13944,76582.98,68.489716
2016-05-06,161.91728,1116.4006,914.4975,935.28864,287.64966,85.359276,437.747,1.344387,34316.953,92.18435,76921.875,69.25377
2016-05-07,159.43248,1103.4623,904.88306,939.57587,279.71573,84.14029,435.68472,1.3336141,34353.04,92.28314,75802.016,68.66449
2016-05-08,159.62413,1092.5942,896.0325,942.4661,272.22067,83.06464,434.04037,1.2266397,34402.35,92.11656,74656.94,69.41139
2016-05-09,160.78976,1114.2695,914.68054,942.4697,279.78082,84.78203,436.61526,1.4474045,34351.043,92.1581,75279.93,69.41992
2016-05-10,165.03758,1135.1421,928.7426,936.25354,291.58008,86.38786,439.3371,1.3439014,34357.945,92.069695,77107.32,69.40489
2016-05-11,162.35938,1118.416,917.64996,942.7093,280.5345,84.99109,436.84766,1.3782368,34367.707,92.152855,75302.32,69.55499
2016-05-12,159.05284,1104.9604,908.9171,947.3925,272.69043,83.91359,434.9588,1.5223647,34358.688,92.066864,74066.195,69.820335
2016-05-13,158.67313,1107.2676,909.1403,942.6003,278.13776,84.30886,435.93762,1.43784,34350.64,92.071846,75232.0,68.48264
2016-05-14,159.27774,1106.1937,908.35175,942.09863,278.38364,84.314255,435.66388,1.3781118,34339.977,92.163864,75273.5,68.5734
2016-05-16,158.6125,1105.8336,906.40314,942.86096,276.7192,84.01094,435.55548,1.3763413,34416.81,92.19721,75100.03,68.042206
2016-05-17,126.45152,1119.6129,916.4428,938.91034,283.8098,85.17934,437.4322,1.3411779,34395.49,92.152565,76038.95,38.817616
2016-05-18,124.63611,1112.0851,912.70984,942.1696,278.49588,84.49101,436.44095,1.3414652,34355.344,92.13808,75189.19,37.867603
2016-05-19,123.84992,1108.102,909.8852,943.67413,276.27798,84.15917,436.02057,1.394794,34363.598,92.15875,74868.84,37.780212
2016-05-20,123.91846,1110.1051,912.5837,945.5508,275.33566,84.2682,435.83124,1.4104618,34348.863,91.98956,74504.73,37.74071
2016-05-21,123.74671,1115.9857,915.5379,940.11237,281.86417,84.945755,437.2067,1.373985,34335.977,91.967186,75721.016,37.109764
2016-05-22,122.69517,1105.5051,906.7703,941.895,276.9009,84.10895,435.92654,1.4210625,34378.832,92.076324,75075.92,37.361
